ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj,,,,
äÓèÄì˙,äÓèÄâøäz,äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj,ï™îzã‡(ê≈à¯ëO),èÉéëéY(â≠â~)
2019/5/29,10300,10300,,181.56
2019/5/30,10260,10260,,183.1
2019/5/31,10259,10259,,184.47
2019/6/3,10031,10031,,180.72
2019/6/4,9966,9966,,180.2
2019/6/5,10198,10198,,186.84
2019/6/6,10308,10308,,190.16
2019/6/7,10385,10385,,193.2
2019/6/10,10495,10495,,196.09
2019/6/11,10543,10543,,197.93
2019/6/12,10548,10548,,199.06
2019/6/13,10519,10519,,199.35
2019/6/14,10557,10557,,200.6
2019/6/17,10563,10563,,202.14
2019/6/18,10565,10565,,202.57
2019/6/19,10662,10662,,205.84
2019/6/20,10622,10622,,205.63
2019/6/21,10684,10684,,207.71
2019/6/24,10673,10673,,208.76
2019/6/25,10641,10641,,208.39
2019/6/26,10545,10545,,208.89
2019/6/27,10570,10570,,210.43
2019/6/28,10619,10619,,212.18
2019/7/1,10725,10725,,215.8
2019/7/2,10830,10830,,218.68
2019/7/3,10785,10785,,224.97
2019/7/4,10881,10881,,227.49
2019/7/5,10891,10891,,228.35
2019/7/8,10935,10935,,229.28
2019/7/9,10916,10916,,230.26
2019/7/10,10946,10946,,232.07
2019/7/11,10914,10914,,232.31
2019/7/12,10973,10973,,235.13
2019/7/16,10968,10968,,235.69
2019/7/17,10967,10967,,237.93
2019/7/18,10847,10847,,237.69
2019/7/19,10858,10858,,238.67
2019/7/22,10833,10833,,238.43
2019/7/23,10872,10872,,240.1
2019/7/24,10962,10962,,243.57
2019/7/25,11015,11015,,245.68
2019/7/26,11010,11010,,247.1
2019/7/29,11060,11060,,249.9
2019/7/30,11088,11088,,251.23
2019/7/31,11035,11035,,250.99
2019/8/1,10978,10978,,249.91
2019/8/2,10671,10671,,243.83
2019/8/5,10514,10514,,245.36
2019/8/6,10152,10152,,235.71
2019/8/7,10316,10316,,241.51
2019/8/8,10319,10319,,245.07
2019/8/9,10506,10506,,253.5
2019/8/13,10257,10257,,250.22
2019/8/14,10503,10503,,258.2
2019/8/15,10166,10166,,252.79
2019/8/16,10203,10203,,254.89
2019/8/19,10377,10377,,262.9
2019/8/20,10526,10526,,269.37
2019/8/21,10415,10415,,268.64
2019/8/22,10528,10528,,272.93
2019/8/23,10525,10525,,273.84
2019/8/26,10102,10102,,263.23
2019/8/27,10286,10286,,268.72
2019/8/28,10243,10243,,271.12
2019/8/29,10340,10340,,274.99
2019/8/30,10515,10515,,280.69
2019/9/2,10491,10491,,280.7
2019/9/3,10510,10510,,282.14
2019/9/4,10399,10399,,279.16
2019/9/5,10561,10561,,289.24
2019/9/6,10765,10765,,295.44
2019/9/9,10764,10764,,295.74
